remark,"CSV-Import-Export"
remark,"Date = Tue Apr 17 17:13:00 2024"
remark,"Version = RSLogix 5000 v33.01"
remark,"Owner = "
remark,"Company = "
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,Test_Tag,Test Tag Description,BOOL,,"(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_A_array,Global Array for A type,"DINT[9999]","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_D_array,Global Array for D type,"DINT[9999]","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_H_array,Global Array for H type,"DINT[9999]","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_IR_array,Global Array for IR type,"DINT[9999]","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_W_array,Global Array for W type,"DINT[9999]","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A200,,,EXT_A_array[200],"(ExternalAccess := Read/Write)"
ALIAS,,EXT_P_FIRST_CYCLE,"First Cycle Flag",,EXT_A_array[200].11,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_P_FIRST_CYCLE_TASK,"First Task Execution Flag",,EXT_A_array[200].15,"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A351,,,EXT_A_array[351],"(ExternalAccess := Read/Write)"
ALIAS,,EXT," ",,EXT_A_array[352],"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A353,,,EXT_A_array[353],"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A354,,,EXT_A_array[354],"(ExternalAccess := Read/Write)"
ALIAS,,EXT_ADDR_A402,,,EXT_A_array[402],"(ExternalAccess := Read/Write)"
ALIAS,,EXT_LOW_BATT_FLAG,"LOW BATTERY FLAG",,EXT_A_array[402].04,"(ExternalAccess := Read/Write)"
TAG,,EXT_SIGNALCND0,"Machine #0 Signal Conditioning",REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D1,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_SCALELOW01,"Low Scale Machine 0 Input 1",REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D3,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D4,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D5,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D6,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D7,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D8,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D9,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D10,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D11,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D12,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D13,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D14,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D15,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,EXT_ADDR_D16,,REAL,,"(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
